MID,Class Type,Grade,Subject,Chapter Name,Topic Display Name,Topic Name,RT ID
23NSBAP08MAT01TP104V01L2,Regular Session,Standard VIII,Mathematics,Rational Numbers,Rational Numbers: Rational Numbers Between Two Rational Numbers,Rational Numbers_23NSBAP08MAT01TP104V01L2fgdfg,
23NSBAP08PHY01TP102V01L2,Regular Session,Standard VIII,Science,Force and Pressure,Force and Pressure: Types of Forces,Force and Pressure_23NSBAP08PHY01TP102V01L2,
23NSBAP08MAT01MT101V01L2,Monthly Test Session,Standard VIII,Mathematics,Monthly Test,Monthly Test,Monthly Test_23NSBAP08MAT01MT101V01L2,
23NSBAP08SCI01MT101V01L2,Monthly Test Session,Standard VIII,Science,Monthly Test,Monthly Test,Monthly Test_23NSBAP08SCI01MT101V01L2,
23NSBAP08MAT02RE111V01L2,Regular Session,Standard VIII,Mathematics,"Fraction, Decimal, and Rational Numbers","Revise: Fraction, Decimal, and Rational Numbers","Fraction, Decimal, and Rational Numbers_23NSBAP08MAT02RE111V01L2",
23NSBAP08PHY05RE111V01L2,Regular Session,Standard VIII,Science,Reflection Of Light,Revise: Reflection Of Light,Reflection Of Light_23NSBAP08PHY05RE111V01L2,
